date,county,state,fips,cases,deaths
01/01/2023,Anderson,Texas,48001,10771,252
01/01/2023,Andrews,Texas,48003,4901,73
01/01/2023,Angelina,Texas,48005,16747,497
01/01/2023,Aransas,Texas,48007,5378,98
01/01/2023,Archer,Texas,48009,2563,32
01/01/2023,Armstrong,Texas,48011,650,11
01/01/2023,Atascosa,Texas,48013,15442,251
01/01/2023,Austin,Texas,48015,6829,84
01/01/2023,Bailey,Texas,48017,1711,39
01/01/2023,Bandera,Texas,48019,4201,80
01/01/2023,Bastrop,Texas,48021,26564,249
01/01/2023,Baylor,Texas,48023,925,33
01/01/2023,Bee,Texas,48025,9731,156
01/01/2023,Bell,Texas,48027,83015,935
01/01/2023,Bexar,Texas,48029,681230,6398
01/01/2023,Blanco,Texas,48031,3121,36
01/01/2023,Borden,Texas,48033,119,2
01/01/2023,Bosque,Texas,48035,4785,75
01/01/2023,Bowie,Texas,48037,24024,450
01/01/2023,Brazoria,Texas,48039,114049,1024
01/01/2023,Brazos,Texas,48041,72946,430
01/01/2023,Brewster,Texas,48043,1346,33
01/01/2023,Briscoe,Texas,48045,559,8
01/01/2023,Brooks,Texas,48047,2013,54
01/01/2023,Brown,Texas,48049,14586,233
01/01/2023,Burleson,Texas,48051,5896,70
01/01/2023,Burnet,Texas,48053,13296,179
01/01/2023,Caldwell,Texas,48055,17327,185
01/01/2023,Calhoun,Texas,48057,6831,53
01/01/2023,Callahan,Texas,48059,3421,77
01/01/2023,Cameron,Texas,48061,130561,2095
01/01/2023,Camp,Texas,48063,3483,77
01/01/2023,Carson,Texas,48065,1704,37
01/01/2023,Cass,Texas,48067,8716,207
01/01/2023,Castro,Texas,48069,2690,48
01/01/2023,Chambers,Texas,48071,12321,138
01/01/2023,Cherokee,Texas,48073,9459,279
01/01/2023,Childress,Texas,48075,2952,34
01/01/2023,Clay,Texas,48077,2433,44
01/01/2023,Cochran,Texas,48079,1010,25
01/01/2023,Coke,Texas,48081,1041,20
01/01/2023,Coleman,Texas,48083,2041,74
01/01/2023,Collin,Texas,48085,267843,1598
01/01/2023,Collingsworth,Texas,48087,852,19
01/01/2023,Colorado,Texas,48089,4342,68
01/01/2023,Comal,Texas,48091,42167,574
01/01/2023,Comanche,Texas,48093,3942,81
01/01/2023,Concho,Texas,48095,1328,12
01/01/2023,Cooke,Texas,48097,8423,153
01/01/2023,Coryell,Texas,48099,20767,227
01/01/2023,Cottle,Texas,48101,372,9
01/01/2023,Crane,Texas,48103,1508,24
01/01/2023,Crockett,Texas,48105,1335,20
01/01/2023,Crosby,Texas,48107,2208,47
01/01/2023,Culberson,Texas,48109,541,15
01/01/2023,Dallam,Texas,48111,2382,43
01/01/2023,Dallas,Texas,48113,678054,7016
01/01/2023,Dawson,Texas,48115,3434,101
01/01/2023,DeWitt,Texas,48123,7157,113
01/01/2023,Deaf Smith,Texas,48117,5656,119
01/01/2023,Delta,Texas,48119,2023,27
01/01/2023,Denton,Texas,48121,218745,1417
01/01/2023,Dickens,Texas,48125,506,16
01/01/2023,Dimmit,Texas,48127,6156,52
01/01/2023,Donley,Texas,48129,1286,27
01/01/2023,Duval,Texas,48131,4235,73
01/01/2023,Eastland,Texas,48133,3318,118
01/01/2023,Ector,Texas,48135,42791,725
01/01/2023,Edwards,Texas,48137,573,11
01/01/2023,El Paso,Texas,48141,250397,3851
01/01/2023,Ellis,Texas,48139,56565,606
01/01/2023,Erath,Texas,48143,9738,132
01/01/2023,Falls,Texas,48145,4382,75
01/01/2023,Fannin,Texas,48147,7947,203
01/01/2023,Fayette,Texas,48149,5394,115
01/01/2023,Fisher,Texas,48151,707,31
01/01/2023,Floyd,Texas,48153,2289,49
01/01/2023,Foard,Texas,48155,247,11
01/01/2023,Fort Bend,Texas,48157,239244,1324
01/01/2023,Franklin,Texas,48159,2595,46
01/01/2023,Freestone,Texas,48161,4242,87
01/01/2023,Frio,Texas,48163,6600,95
01/01/2023,Gaines,Texas,48165,2373,86
01/01/2023,Galveston,Texas,48167,117020,888
01/01/2023,Garza,Texas,48169,1455,31
01/01/2023,Gillespie,Texas,48171,6122,117
01/01/2023,Glasscock,Texas,48173,224,3
01/01/2023,Goliad,Texas,48175,1509,33
01/01/2023,Gonzales,Texas,48177,5276,106
01/01/2023,Gray,Texas,48179,6899,134
01/01/2023,Grayson,Texas,48181,31059,669
01/01/2023,Gregg,Texas,48183,26384,720
01/01/2023,Grimes,Texas,48185,9887,125
01/01/2023,Guadalupe,Texas,48187,44759,438
01/01/2023,Hale,Texas,48189,8198,250
01/01/2023,Hall,Texas,48191,1268,24
01/01/2023,Hamilton,Texas,48193,2095,36
01/01/2023,Hansford,Texas,48195,2264,31
01/01/2023,Hardeman,Texas,48197,624,21
01/01/2023,Hardin,Texas,48199,14357,256
01/01/2023,Harris,Texas,48201,1241025,11433
01/01/2023,Harrison,Texas,48203,15458,296
01/01/2023,Hartley,Texas,48205,1484,19
01/01/2023,Haskell,Texas,48207,1061,40
01/01/2023,Hays,Texas,48209,76535,551
01/01/2023,Hemphill,Texas,48211,1414,8
01/01/2023,Henderson,Texas,48213,18014,463
01/01/2023,Hidalgo,Texas,48215,258546,4032
01/01/2023,Hill,Texas,48217,9931,202
01/01/2023,Hockley,Texas,48219,9114,169
01/01/2023,Hood,Texas,48221,14772,290
01/01/2023,Hopkins,Texas,48223,8475,189
01/01/2023,Houston,Texas,48225,4880,121
01/01/2023,Howard,Texas,48227,7745,191
01/01/2023,Hudspeth,Texas,48229,1156,18
01/01/2023,Hunt,Texas,48231,19103,392
01/01/2023,Hutchinson,Texas,48233,7476,147
01/01/2023,Irion,Texas,48235,586,3
01/01/2023,Jack,Texas,48237,1641,31
01/01/2023,Jackson,Texas,48239,3840,61
01/01/2023,Jasper,Texas,48241,7953,206
01/01/2023,Jeff Davis,Texas,48243,273,10
01/01/2023,Jefferson,Texas,48245,61418,871
01/01/2023,Jim Hogg,Texas,48247,3719,22
01/01/2023,Jim Wells,Texas,48249,13799,225
01/01/2023,Johnson,Texas,48251,50901,770
01/01/2023,Jones,Texas,48253,5240,116
01/01/2023,Karnes,Texas,48255,6363,75
01/01/2023,Kaufman,Texas,48257,41630,553
01/01/2023,Kendall,Texas,48259,9633,131
01/01/2023,Kenedy,Texas,48261,102,2
01/01/2023,Kent,Texas,48263,220,4
01/01/2023,Kerr,Texas,48265,10825,200
01/01/2023,Kimble,Texas,48267,898,15
